,nombre,pop,lat,lng
3,Torrent,82208,39.4322368,-0.472373
4,Paterna,70195,39.5021,-0.440599
5,Sagunto,66140,39.69053038914054,-0.27885222446851005
6,Alzira,44352,39.137042037407056,-0.450810355311958
7,Mislata,43691,39.47605179736407,-0.42052849940153303
8,Burjassot,38024,39.50807204867085,-0.411071974437891
9,Aldaia,31864,39.4595217,-0.4927134
10,Manises,30919,39.49139,-0.46349
11,Xirivella,29623,39.45914441757739,-0.430066302230638
12,Alaquàs,29561,39.45171105496564,-0.470518825538484
13,Xàtiva,29231,39.0522458206324,-0.5489155393327161
14,Catarroja,28120,39.396417947314305,-0.394658359703133
15,Sueca,27479,39.240310714184496,-0.308415539186293
16,Algemesí,27331,39.213824913847695,-0.429204280144505
17,Paiporta,26088,39.42593039120305,-0.41225682673494
18,Quart de P,24760,39.4824,-0.444983
19,Alboraya,24454,39.50064014560659,-0.33744114218465604
20,La Pobla d,24433,39.60245881404037,-0.542266133814549
21,Bétera,24272,39.59977139551525,-0.46281239388042406
22,Llíria,23253,39.6246,-0.594758
23,Riba-roja ,22264,39.52034816605158,-0.560270804894293
24,Cullera,22145,39.16315738880387,-0.259734629778067
25,Moncada,21935,39.56292656198013,-0.396531413746387
26,Picassent,20942,39.363519,-0.4611789
27,Alfafar,20890,39.41667,-0.38333
28,Carcaixent,20358,39.09835486349177,-0.427720400633715
29,Puçol,19495,39.618120360826964,-0.306117316493528
30,Silla,18771,39.35652519274052,-0.402798108023725
31,L'Eliana,18235,39.562702045447224,-0.5261394324687151
32,Albal,16399,39.39248006003832,-0.41640891588037504
33,Massamagre,15952,39.574700376423266,-0.332270640030338
34,Carlet,15598,39.234723981108715,-0.536283202099713
35,Chiva,15123,39.48770622480972,-0.7419110780040811
36,Alginet,13380,39.25995095714928,-0.46385925447283505
37,Godella,13088,39.535697559223614,-0.426756164993975
38,L'Alcúdia,12009,39.19264068287326,-0.524033699665152
39,Benifaió,11962,39.284812347088916,-0.444823779729472
40,Picanya,11513,39.433924516875955,-0.436128012551446
41,Benaguasil,10988,39.593996211673954,-0.616998525156038
42,Meliana,10822,39.52501471395668,-0.33520253508699904
43,Alberic,10526,39.118193181817034,-0.5372611127671171
44,Sedaví,10333,39.42382290111168,-0.375772892660214
45,Alcàsser,10039,39.38163970031634,-0.44763930932843005
46,Vilamarxan,9717,39.56023236061769,-0.655369846712998
47,Massanassa,9667,39.3973928987019,-0.372596119542684
48,Buñol,9408,39.42914034008223,-0.8482540401541561
49,Tavernes B,9120,39.50750261001798,-0.36417885192104904
50,San Antoni,9089,39.56233397930313,-0.495978189271194
51,Almussafes,8967,39.29664258953255,-0.41130709077411604
52,Rafelbuñol,8941,39.59522131725543,-0.347991511325045
53,Puig,8630,39.598974388514236,-0.32058029647122105
54,Cheste,8494,39.50869284820227,-0.677439803130728
55,La Pobla d,7978,39.572683701486206,-0.309886127532988
56,Monserrat,7878,39.363235311440626,-0.5841405707935781
57,Foios,7367,39.54534440248931,-0.360339750591811
58,Almàssera,7349,39.51409740389167,-0.350112414400221
59,Rocafort,7240,39.53564523543115,-0.413022384221968
60,Villanueva,7049,39.07332825222919,-0.5201898694499371
61,Canet d'En,6697,39.68088710614544,-0.216477905714539
62,Turís,6646,39.373606102001176,-0.6865102327280651
63,Náquera,6577,39.637196347459096,-0.413748483016084
64,Museros,6458,39.57441185702784,-0.359227586708656
65,Guadassuar,5893,39.182102790788484,-0.530530435807124
66,Sollana,4861,39.281435231032916,-0.37701773903803404
67,La Pobla L,4452,39.08160979310769,-0.47222472342515903
68,Albuixech,4017,39.543073764816526,-0.31805685032375103
69,Albalat de,3977,39.54996471811035,-0.350602759694537
70,Bonrepòs i,3691,39.51950068335968,-0.36732496771489703
71,Faura,3538,39.727925522957115,-0.25813070113062303
72,Godelleta,3533,39.42611231530733,-0.665990541335149
73,Vinalesa,3420,39.534291681583355,-0.36895597066857005
74,Albalat de,3360,39.22054254981104,-0.37384184587058
75,Gilet,3324,39.670078499298114,-0.336408382215439
76,Alfara del,3310,39.53912662478756,-0.38115629378813404
77,Serra,3124,39.68450049899722,-0.45559206014241904
78,Corbera,3100,39.158920031416585,-0.352475935860427
79,Montroy,2867,39.33254406234512,-0.65227030531268
80,Real de Mo,2867,39.313536482876756,-0.622238734575535
81,Catadau,2777,39.25551634526007,-0.608658666976962
82,Casinos,2777,39.70348405852698,-0.743325638452889
83,Llombai,2685,39.29528294263376,-0.5924005808099041
84,Favara,2518,39.118437078162174,-0.29959502024961904
85,Polinyà de,2472,39.19067141973391,-0.372306069170431
86,Massalfass,2469,39.55453318112196,-0.315286641782203
87,Manuel,2428,39.05435950397024,-0.491914500387427
88,Rafelguara,2335,39.049787822414764,-0.43862067238892305
89,Benimodo,2268,39.1961041113671,-0.5502942672099771
90,Benisanó,2260,39.61567956457281,-0.572268342557907
91,Benifairó ,2186,39.72438610287709,-0.275561150683068
92,Yátova,2067,39.36100195872281,-0.891924319848139
93,Loriguilla,2025,39.63220054382095,-0.9496308550586561
94,Beniparrel,1952,39.38311864437736,-0.41399698809491203
95,Càrcer,1862,39.05959216393479,-0.5728693343372461
96,Marines,1828,39.723941304448985,-0.549507662869896
97,Olocau,1771,39.688219834485444,-0.5274975926095891
98,Riola,1759,39.18967497607438,-0.33749652828804705
99,Quartell,1636,39.72895054334028,-0.23948374196065403
